[2023-06-21 17:23:27,015: ERROR: helper_functions: yaml file config\config.yaml not found]
[2023-06-21 17:23:47,957: INFO: helper_functions: yaml file config\config.yaml uploaded successfully]
[2023-06-21 17:23:47,976: INFO: helper_functions: yaml file params.yaml uploaded successfully]
[2023-06-21 17:23:47,981: INFO: helper_functions: created directory at: artifacts]
[2023-06-21 17:23:59,005: INFO: helper_functions: yaml file config\config.yaml uploaded successfully]
[2023-06-21 17:23:59,012: INFO: helper_functions: yaml file params.yaml uploaded successfully]
[2023-06-21 17:23:59,016: INFO: helper_functions: created directory at: artifacts]
[2023-06-21 17:24:05,055: INFO: helper_functions: yaml file config\config.yaml uploaded successfully]
[2023-06-21 17:24:05,067: INFO: helper_functions: yaml file params.yaml uploaded successfully]
[2023-06-21 17:24:05,071: INFO: helper_functions: created directory at: artifacts]
[2023-06-21 17:45:56,627: INFO: helper_functions: yaml file config\config.yaml uploaded successfully]
[2023-06-21 17:45:56,634: INFO: helper_functions: yaml file params.yaml uploaded successfully]
[2023-06-21 17:45:56,638: INFO: helper_functions: created directory at: artifacts]
[2023-06-21 17:46:32,180: INFO: helper_functions: yaml file config\config.yaml uploaded successfully]
[2023-06-21 17:46:32,186: INFO: helper_functions: yaml file params.yaml uploaded successfully]
[2023-06-21 17:46:32,188: INFO: helper_functions: created directory at: artifacts]
[2023-06-21 17:46:47,674: INFO: helper_functions: yaml file config\config.yaml uploaded successfully]
[2023-06-21 17:46:47,681: INFO: helper_functions: yaml file params.yaml uploaded successfully]
[2023-06-21 17:46:47,689: INFO: helper_functions: created directory at: artifacts]
[2023-06-21 17:47:43,776: INFO: helper_functions: yaml file config\config.yaml uploaded successfully]
[2023-06-21 17:47:43,781: INFO: helper_functions: yaml file params.yaml uploaded successfully]
[2023-06-21 17:47:43,786: INFO: helper_functions: created directory at: artifacts]
[2023-06-21 17:47:43,790: INFO: helper_functions: created directory at: artifacts/callbacks/tensorboard_log_dir]
[2023-06-21 17:47:43,793: INFO: helper_functions: created directory at: artifacts/callbacks/checkpoint_dir]
[2023-06-21 17:48:32,214: INFO: helper_functions: yaml file config\config.yaml uploaded successfully]
[2023-06-21 17:48:32,222: INFO: helper_functions: yaml file params.yaml uploaded successfully]
[2023-06-21 17:48:32,226: INFO: helper_functions: created directory at: artifacts]
[2023-06-21 17:48:32,231: INFO: helper_functions: created directory at: artifacts/callbacks/tensorboard_log_dir]
[2023-06-21 17:48:32,233: INFO: helper_functions: created directory at: artifacts/callbacks/checkpoint_dir]
